date,price,joules_per_coin,kwh_per_coin,Mining costs with C = 0.03 USD/kWh; PUE = 1.0,Mining costs with C = 0.05 USD/kWh; PUE = 1.1,Mining costs with C = 0.07 USD/kWh; PUE = 1.2,Price-cost price with C = 0.03 USD/kWh; PUE = 1.0,Price-cost price with C = 0.05 USD/kWh; PUE = 1.1,Price-cost price with C = 0.07 USD/kWh; PUE = 1.2
2020-08-31,11800.389870165,730741884243.0665,202983.85673418516,6089.515702025555,11164.112120380185,17050.643965671552,5710.874168139445,636.2777497848147,-5250.254095506552
2020-07-31,9225.668161404,663338225131.6079,184260.61809211332,5527.8185427634,10134.333995066234,15477.891919737518,3697.849618640601,-908.6658336622331,-6252.223758333517
2020-06-30,10177.770353698,685569360422.5907,190435.93345071963,5713.0780035215885,10473.97633978958,15996.61840986045,4464.692350176412,-296.2059860915797,-5818.848056162449
2020-05-31,8832.98125113,545918937846.8385,151644.14940189957,4549.324482056987,8340.428217104478,12738.108549759565,4283.6567690730135,492.5530340255227,-3905.1272986295644
2020-04-30,6598.287014759,387188589612.4295,107552.38600345264,3226.571580103579,5915.381230189896,9034.400424290023,3371.715434655421,682.9057845691041,-2436.1134095310226
2020-03-31,8557.504357584,407947764064.7632,113318.82335132311,3399.564700539693,6232.535284322772,9518.781161511142,5157.939657044308,2324.969073261229,-961.2768039271414
2020-02-29,9386.105651619,356795335181.9185,99109.8153283107,2973.294459849321,5451.0398430570895,8325.224487578098,6412.811191769679,3935.0658085619107,1060.8811640409021
2020-01-31,7213.918462217,406592296665.2694,112942.30462924151,3388.269138877245,6211.826754608284,9487.153588856287,3825.6493233397546,1002.0917076087153,-2273.235126639287
2019-12-31,7417.184161887,360940833935.5012,100261.34275986145,3007.8402827958435,5514.37385179238,8421.952791828362,4409.343879091157,1902.81031009462,-1004.7686299413617
2019-11-30,9225.753942278,336406346533.4184,93446.207370394,2803.38622111182,5139.54140537167,7849.481419113095,6422.36772116618,4086.2125369063288,1376.2725231649038
2019-10-31,8294.743596648,372157775794.5619,103377.15994293385,3101.3147982880155,5685.743796861363,8683.681435206445,5193.428798359985,2608.9997997866376,-388.9378385584441
2019-09-30,9716.721909689,336518626171.2024,93477.39615866732,2804.3218847600197,5141.256788726703,7852.101277328055,6912.40002492898,4575.465120962297,1864.620632360945
2019-08-31,10365.984725445,301287528903.6641,83690.98025101781,2510.7294075305344,4603.00391380598,7030.042341085496,7855.255317914465,5762.9808116390195,3335.942384359503
2019-07-31,10638.003271271,310684679893.5644,86301.29997043456,2589.0389991130364,4746.571498373901,7249.309197516503,8048.964272157964,5891.431772897099,3388.6940737544965
2019-06-30,8596.109824225,288308642538.00665,80085.73403833518,2402.572021150055,4404.715372108436,6727.201659220156,6193.537803074943,4191.394452116563,1868.9081650048429
2019-05-31,5388.818932923,262187152056.69217,72829.76446019227,2184.892933805768,4005.6370453105756,6117.700214656151,3203.925999117232,1383.1818876124244,-728.8812817331509
2019-04-30,4202.125149714,226657696925.542,62960.47136820611,1888.8141410461833,3462.8259252513367,5288.679594929315,2313.311008667817,739.2992244626635,-1086.5544452153144
2019-03-31,3834.290290069,201369644059.07983,55936.01223863329,1678.0803671589986,3076.4806731248314,4698.625028045197,2156.2099229100013,757.8096169441687,-864.3347379761967
2019-02-28,3474.400614406,252681257454.71475,70189.2381818652,2105.677145455956,3860.408100002587,5895.896007276678,1368.7234689500438,-386.00748559658723,-2421.4953928706777
2019-01-31,3851.181614039,246278252923.4528,68410.62581207023,2052.3187743621065,3762.5844196638627,5746.492568213899,1798.8628396768936,88.5971943751374,-1895.310954174899
2018-12-31,4208.46972294,208535527524.58716,57926.53542349643,1737.7960627048928,3185.959448292304,4865.8289755737005,2470.673660235107,1022.510274647696,-657.3592526337006
2018-11-30,6368.306136028,230428645785.7985,64007.9571627218,1920.238714881654,3520.4376439496996,5376.668401668631,4448.067421146346,2847.8684920783003,991.6377343593686
