Date,ln(P_max),Data monthly average,Model ln(P_eff)
2013-04-29,-6.684611727667927,0.0003460335800818554,4.194214631046263e-05
2013-04-30,-6.684611727667927,0.0003460335800818554,4.194214631046263e-05
2013-07-01,-6.684611727667927,0.0005499993051376146,0.00033520562834597517
2013-07-02,-6.684611727667927,0.0005499993051376146,0.00033520562834597517
2013-07-03,-6.684611727667927,0.0005499993051376146,0.00033520562834597517
2013-07-04,-6.684611727667927,0.0005499993051376146,0.00033520562834597517
2013-07-05,-6.684611727667927,0.0005499993051376146,0.00033520562834597517
2013-07-06,-6.684611727667927,0.0005499993051376146,0.00033520562834597517
2013-07-07,-6.684611727667927,0.0005499993051376146,0.00033520562834597517
2013-07-08,-6.684611727667927,0.0005499993051376146,0.00033520562834597517
2013-07-09,-6.684611727667927,0.0005499993051376146,0.00033520562834597517
2013-07-10,-6.684611727667927,0.0005499993051376146,0.00033520562834597517
2013-07-11,-6.684611727667927,0.0005499993051376146,0.00033520562834597517
2013-07-12,-6.684611727667927,0.0005499993051376146,0.00033520562834597517
2013-07-13,-6.684611727667927,0.0005499993051376146,0.00033520562834597517
2013-07-14,-6.684611727667927,0.0005499993051376146,0.00033520562834597517
2013-07-15,-6.684611727667927,0.0005499993051376146,0.00033520562834597517
2013-07-16,-6.684611727667927,0.0005499993051376146,0.00033520562834597517
2013-07-17,-6.684611727667927,0.0005499993051376146,0.00033520562834597517
2013-07-18,-6.684611727667927,0.0005499993051376146,0.00033520562834597517
2013-07-19,-6.684611727667927,0.0005499993051376146,0.00033520562834597517
2013-07-20,-6.684611727667927,0.0005499993051376146,0.00033520562834597517
2013-07-21,-6.684611727667927,0.0005499993051376146,0.00033520562834597517
2013-07-22,-6.684611727667927,0.0005499993051376146,0.00033520562834597517
2013-07-23,-6.684611727667927,0.0005499993051376146,0.00033520562834597517
2013-07-24,-6.684611727667927,0.0005499993051376146,0.00033520562834597517
2013-07-25,-6.684611727667927,0.0005499993051376146,0.00033520562834597517
2013-07-26,-6.684611727667927,0.0005499993051376146,0.00033520562834597517
2013-07-27,-6.684611727667927,0.0005499993051376146,0.00033520562834597517
2013-07-28,-6.684611727667927,0.0005499993051376146,0.00033520562834597517
2013-07-29,-6.684611727667927,0.0005499993051376146,0.00033520562834597517
2013-07-30,-6.684611727667927,0.0005499993051376146,0.00033520562834597517
2013-07-31,-6.684611727667927,0.0005499993051376146,0.00033520562834597517
2013-10-01,-6.684611727667927,0.0006473918956756756,0.0006167401715502987
2013-10-02,-6.684611727667927,0.0006473918956756756,0.0006167401715502987
2013-10-03,-6.684611727667927,0.0006473918956756756,0.0006167401715502987
2013-10-04,-6.684611727667927,0.0006473918956756756,0.0006167401715502987
2013-10-05,-6.684611727667927,0.0006473918956756756,0.0006167401715502987
2013-10-06,-6.684611727667927,0.0006473918956756756,0.0006167401715502987
2013-10-07,-6.684611727667927,0.0006473918956756756,0.0006167401715502987
2013-10-08,-6.684611727667927,0.0006473918956756756,0.0006167401715502987
2013-10-09,-6.684611727667927,0.0006473918956756756,0.0006167401715502987
2013-10-10,-6.684611727667927,0.0006473918956756756,0.0006167401715502987
2013-10-11,-6.684611727667927,0.0006473918956756756,0.0006167401715502987
2013-10-12,-6.684611727667927,0.0006473918956756756,0.0006167401715502987
2013-10-13,-6.684611727667927,0.0006473918956756756,0.0006167401715502987
2013-10-14,-6.684611727667927,0.0006473918956756756,0.0006167401715502987
2013-10-15,-6.684611727667927,0.0006473918956756756,0.0006167401715502987
2013-10-16,-6.684611727667927,0.0006473918956756756,0.0006167401715502987
2013-10-17,-6.684611727667927,0.0006473918956756756,0.0006167401715502987
2013-10-18,-6.684611727667927,0.0006473918956756756,0.0006167401715502987
2013-10-19,-6.684611727667927,0.0006473918956756756,0.0006167401715502987
