date,avg_efficiency,max_efficiency,open_price,count
2018-07-04,0.0038948393,0.01021,6537.368501721,0.0
2018-07-05,0.0038948393,0.01021,6612.111581483,0.0
2018-07-06,0.0038948393,0.01021,6528.310928764,0.0
2018-07-07,0.0038948393,0.01021,6594.777709362,0.0
2018-07-08,0.0038948393,0.01021,6715.378280114,0.0
2018-07-09,0.0038948393,0.01021,6713.143583017,0.0
2018-07-10,0.0038948393,0.01021,6670.315362761,0.0
2018-07-11,0.0038948393,0.01021,6318.741219514,0.0
2018-07-12,0.0038948393,0.01021,6369.836850151,0.0
2018-07-13,0.0038948393,0.01021,6217.319818144,0.0
2018-07-14,0.0038948393,0.01021,6220.174225132,0.0
2018-07-15,0.0038948393,0.01021,6250.324790913,0.0
2018-07-16,0.0038948393,0.01021,6349.113032979,0.0
2018-07-17,0.0038948393,0.01021,6698.843898684,0.0
2018-07-18,0.0038948393,0.01021,7313.602735913,0.0
2018-07-19,0.00635,0.01021,7349.626444582,1.0
2018-07-20,0.00635,0.01021,7444.568409892,0.0
2018-07-21,0.0101930408,0.01021,7330.341057369,2.0
2018-07-22,0.0101930408,0.01021,7398.452210369,0.0
2018-07-23,0.0101930408,0.01021,7386.710266104,0.0
2018-07-24,0.0101930408,0.01021,7715.394161402,0.0
2018-07-25,0.0101930408,0.01021,8343.380118959,0.0
2018-07-26,0.0101930408,0.01021,8165.597548772,0.0
2018-07-27,0.0101930408,0.01021,7925.66136133,0.0
2018-07-28,0.0101930408,0.01021,8172.875760772,0.0
2018-07-29,0.0014382090333333335,0.01021,8230.52203672,3.0
2018-07-30,0.0014382090333333335,0.01021,8218.147751985,0.0
2018-07-31,0.0014382090333333335,0.01021,8174.641739616,0.0
2018-08-01,0.0014382090333333335,0.01021,7744.631395433,0.0
2018-08-02,0.0014382090333333335,0.01021,7600.558993948,0.0
2018-08-03,0.0014382090333333335,0.01021,7548.45773574,0.0
2018-08-04,0.0014382090333333335,0.01021,7423.369336613,0.0
2018-08-05,0.0014382090333333335,0.01021,7021.618542978,0.0
2018-08-06,0.0014382090333333335,0.01021,7040.944982529,0.0
2018-08-07,0.0014382090333333335,0.01021,6945.21833169,0.0
2018-08-08,0.0014382090333333335,0.01021,6736.300264249,0.0
2018-08-09,0.0014382090333333335,0.01021,6291.645097695,0.0
2018-08-10,0.0014382090333333335,0.01021,6556.79900191,0.0
