date,hardware_name,TH/J,max_efficiency,year
2011-06-13 03:25:13,6990,1.9056e-06,3.78e-06,2011
2011-06-13 08:10:27,5850,1.8195e-06,3.78e-06,2011
2011-06-13 08:10:27,5870,1.906e-06,3.78e-06,2011
2011-06-13 08:10:27,5830,1.5452e-06,3.78e-06,2011
2011-06-13 13:23:37,5830,1.5452e-06,3.78e-06,2011
2011-06-13 19:10:16,6990,1.9056e-06,3.78e-06,2011
2011-06-13 23:40:59,5830,1.5452e-06,3.78e-06,2011
2011-06-13 23:40:59,6950,1.9399e-06,3.78e-06,2011
2011-06-13 23:40:59,5870,1.906e-06,3.78e-06,2011
2011-06-13 23:40:59,6970,1.8507e-06,3.78e-06,2011
2011-06-14 01:26:21,5850,1.8195e-06,3.78e-06,2011
2011-06-14 16:17:53,5850,1.8195e-06,3.78e-06,2011
2011-06-14 16:39:00,8800gt,2.672e-07,3.78e-06,2011
2011-06-14 16:39:00,6970,1.8507e-06,3.78e-06,2011
2011-06-14 20:44:19,6850,1.3996e-06,3.78e-06,2011
2011-06-15 00:01:06,6850,1.3996e-06,3.78e-06,2011
2011-06-15 00:01:06,5850,1.8195e-06,3.78e-06,2011
2011-06-15 00:01:06,8800gt,2.672e-07,3.78e-06,2011
2011-06-15 01:05:18,6990,1.9056e-06,3.78e-06,2011
2011-06-15 03:37:32,5850,1.8195e-06,3.78e-06,2011
2011-06-15 10:02:53,6970,1.8507e-06,3.78e-06,2011
2011-06-15 21:24:03,8800gts,1.09e-07,3.78e-06,2011
2011-06-15 21:37:14,5970,2.0053e-06,3.78e-06,2011
2011-06-15 21:37:14,5870,1.906e-06,3.78e-06,2011
2011-06-15 21:37:14,5830,1.5452e-06,3.78e-06,2011
2011-06-16 20:28:10,5870,1.906e-06,3.78e-06,2011
2011-06-16 20:29:48,5770,1.9401e-06,3.78e-06,2011
2011-06-16 20:29:48,6950,1.9399e-06,3.78e-06,2011
2011-06-16 21:57:17,5850,1.8195e-06,3.78e-06,2011
2011-06-16 21:57:17,5830,1.5452e-06,3.78e-06,2011
2011-06-17 03:52:57,5870,1.906e-06,3.78e-06,2011
2011-06-17 05:37:08,5850,1.8195e-06,3.78e-06,2011
2011-06-17 07:47:53,5770,1.9401e-06,3.78e-06,2011
2011-06-17 23:19:31,5970,2.0053e-06,3.78e-06,2011
2011-06-18 17:04:17,5770,1.9401e-06,3.78e-06,2011
2011-06-18 20:31:30,5850,1.8195e-06,3.78e-06,2011
2011-06-18 21:27:18,6950,1.9399e-06,3.78e-06,2011
2011-06-18 23:41:42,6870,1.7264e-06,3.78e-06,2011
2011-06-19 00:09:55,5830,1.5452e-06,3.78e-06,2011
2011-06-19 00:09:55,4870,6.532e-07,3.78e-06,2011
2011-06-19 10:37:11,5870,1.906e-06,3.78e-06,2011
2011-06-19 13:35:15,6950,1.9399e-06,3.78e-06,2011
2011-06-20 00:03:45,5870,1.906e-06,3.78e-06,2011
2011-06-20 00:03:45,5850,1.8195e-06,3.78e-06,2011
2011-06-20 07:05:59,6870,1.7264e-06,3.78e-06,2011
2011-06-20 10:39:04,4870,6.532e-07,3.78e-06,2011
2011-06-21 05:39:02,5850,1.8195e-06,3.78e-06,2011
2011-06-21 06:46:31,5770,1.9401e-06,3.78e-06,2011
2011-06-21 06:46:31,6950,1.9399e-06,3.78e-06,2011
2011-06-21 13:34:30,5830,1.5452e-06,3.78e-06,2011
2011-06-22 01:07:23,5870,1.906e-06,3.78e-06,2011
2011-06-22 01:07:23,6970,1.8507e-06,3.78e-06,2011
2011-06-22 17:23:17,5850,1.8195e-06,3.78e-06,2011
2011-06-22 17:23:17,6950,1.9399e-06,3.78e-06,2011
2011-06-22 17:23:17,6870,1.7264e-06,3.78e-06,2011
2011-06-22 17:23:17,5830,1.5452e-06,3.78e-06,2011
2011-06-22 17:23:17,5830,1.5452e-06,3.78e-06,2011
2011-06-23 12:38:35,5870,1.906e-06,3.78e-06,2011
2011-06-23 14:23:44,6950,1.9399e-06,3.78e-06,2011
2011-06-23 23:21:49,6990,1.9056e-06,3.78e-06,2011
2011-06-23 23:21:49,6950,1.9399e-06,3.78e-06,2011
2011-06-24 00:42:32,5770,1.9401e-06,3.78e-06,2011
2011-06-24 06:57:34,5970,2.0053e-06,3.78e-06,2011
2011-06-24 10:34:17,5970,2.0053e-06,3.78e-06,2011
2011-06-24 10:34:17,5850,1.8195e-06,3.78e-06,2011
2011-06-24 10:34:17,6990,1.9056e-06,3.78e-06,2011
2011-06-24 15:56:55,6990,1.9056e-06,3.78e-06,2011
2011-06-24 20:43:53,6990,1.9056e-06,3.78e-06,2011
2011-06-24 23:21:18,5830,1.5452e-06,3.78e-06,2011
2011-06-24 23:41:20,6970,1.8507e-06,3.78e-06,2011
