date,max_efficiency
2012-08-20,23300000.0
2012-08-21,23300000.0
2012-08-22,23300000.0
2012-08-23,23300000.0
2012-08-24,23300000.0
2012-08-25,23300000.0
2012-08-26,23300000.0
2012-08-27,23300000.0
2012-08-28,23300000.0
2012-08-29,23300000.0
2012-08-30,23300000.0
2012-08-31,23300000.0
2012-09-01,23300000.0
2012-09-02,23300000.0
2012-09-03,23300000.0
2012-09-04,23300000.0
2012-09-05,23300000.0
2012-09-06,23300000.0
2012-09-07,23300000.0
2012-09-08,23300000.0
2012-09-09,23300000.0
2012-09-10,23300000.0
2012-09-11,23300000.0
2012-09-12,23300000.0
2012-09-13,23300000.0
2012-09-14,23300000.0
2012-09-15,23300000.0
2012-09-16,23300000.0
2012-09-17,23300000.0
2012-09-18,23300000.0
2012-09-19,23300000.0
2012-09-20,23300000.0
2012-09-21,23300000.0
2012-09-22,23300000.0
2012-09-23,23300000.0
2012-09-24,23300000.0
2012-09-25,23300000.0
2012-09-26,23300000.0
2012-09-27,23300000.0
2012-09-28,23300000.0
2012-09-29,23300000.0
2012-09-30,23300000.0
2012-10-01,23300000.0
2012-10-02,23300000.0
2012-10-03,23300000.0
2012-10-04,23300000.0
2012-10-05,23300000.0
2012-10-06,23300000.0
2012-10-07,23300000.0
2012-10-08,23300000.0
2012-10-09,23300000.0
2012-10-10,23300000.0
2012-10-11,23300000.0
2012-10-12,23300000.0
2012-10-13,23300000.0
2012-10-14,23300000.0
2012-10-15,23300000.0
2012-10-16,23300000.0
2012-10-17,23300000.0
2012-10-18,23300000.0
2012-10-19,23300000.0
2012-10-20,23300000.0
2012-10-21,23300000.0
2012-10-22,23300000.0
2012-10-23,23300000.0
2012-10-24,23300000.0
2012-10-25,23300000.0
2012-10-26,23300000.0
2012-10-27,23300000.0
2012-10-28,23300000.0
2012-10-29,23300000.0
2012-10-30,23300000.0
2012-10-31,23300000.0
2012-11-01,23300000.0
2012-11-02,23300000.0
2012-11-03,23300000.0
2012-11-04,23300000.0
2012-11-05,23300000.0
2012-11-06,23300000.0
2012-11-07,23300000.0
2012-11-08,23300000.0
2012-11-09,23300000.0
2012-11-10,23300000.0
2012-11-11,23300000.0
2012-11-12,23300000.0
2012-11-13,23300000.0
2012-11-14,23300000.0
2012-11-15,23300000.0
2012-11-16,23300000.0
2012-11-17,23300000.0
2012-11-18,23300000.0
2012-11-19,23300000.0
2012-11-20,250000000.0
2012-11-21,250000000.0
2012-11-22,250000000.0
2012-11-23,250000000.0
2012-11-24,250000000.0
2012-11-25,250000000.0
2012-11-26,250000000.0
2012-11-27,250000000.0
2012-11-28,250000000.0
2012-11-29,250000000.0
2012-11-30,250000000.0
2012-12-01,250000000.0
2012-12-02,250000000.0
2012-12-03,250000000.0
2012-12-04,250000000.0
2012-12-05,250000000.0
2012-12-06,250000000.0
2012-12-07,250000000.0
2012-12-08,250000000.0
2012-12-09,250000000.0
2012-12-10,250000000.0
2012-12-11,250000000.0
2012-12-12,250000000.0
2012-12-13,250000000.0
2012-12-14,250000000.0
2012-12-15,250000000.0
2012-12-16,250000000.0
2012-12-17,250000000.0
2012-12-18,250000000.0
2012-12-19,250000000.0
2012-12-20,250000000.0
2012-12-21,250000000.0
2012-12-22,250000000.0
2012-12-23,250000000.0
2012-12-24,250000000.0
2012-12-25,250000000.0
2012-12-26,250000000.0
2012-12-27,250000000.0
2012-12-28,250000000.0
2012-12-29,250000000.0
2012-12-30,250000000.0
2012-12-31,250000000.0
2013-01-01,250000000.0
2013-01-02,250000000.0
2013-01-03,250000000.0
2013-01-04,250000000.0
2013-01-05,250000000.0
2013-01-06,250000000.0
2013-01-07,250000000.0
2013-01-08,250000000.0
2013-01-09,250000000.0
2013-01-10,250000000.0
2013-01-11,250000000.0
2013-01-12,250000000.0
2013-01-13,250000000.0
2013-01-14,250000000.0
2013-01-15,250000000.0
2013-01-16,250000000.0
2013-01-17,1250000000.0
2013-01-18,1250000000.0
2013-01-19,1250000000.0
2013-01-20,1250000000.0
2013-01-21,1250000000.0
2013-01-22,1250000000.0
2013-01-23,1250000000.0
2013-01-24,1250000000.0
2013-01-25,1250000000.0
2013-01-26,1250000000.0
2013-01-27,1250000000.0
