date,max possible,archaicity,max found,regression
2013-04-25,0.00025,2.33e-05,0.00025,0.00018404243313210748
2013-04-26,0.00025,2.33e-05,,0.00018546946525596636
2013-04-27,0.00025,2.33e-05,,0.00018689649737982524
2013-04-28,0.00025,2.33e-05,,0.00018832352950368412
2013-04-29,0.00025,2.33e-05,,0.00018975056162754306
2013-04-30,0.00025,2.33e-05,,0.0001911775937513693
2013-05-01,0.00025,2.33e-05,,0.00019260462587522825
2013-05-02,0.00025,2.33e-05,1.467e-06,0.00019403165799908713
2013-05-03,0.00025,2.33e-05,,0.000195458690122946
2013-05-04,0.00025,2.33e-05,,0.0001968857222468049
2013-05-05,0.00025,2.33e-05,,0.00019831275437066378
2013-05-06,0.00025,2.33e-05,,0.0001997397864945227
2013-05-07,0.00025,2.33e-05,,0.00020116681861834896
2013-05-08,0.00025,2.33e-05,,0.0002025938507422079
2013-05-09,0.00025,2.33e-05,,0.00020402088286606678
2013-05-10,0.00025,2.33e-05,,0.00020544791498992566
2013-05-11,0.00025,2.33e-05,,0.00020687494711378455
2013-05-12,0.00025,2.33e-05,,0.00020830197923764343
2013-05-13,0.00025,2.33e-05,,0.00020972901136150237
2013-05-14,0.00025,2.33e-05,,0.00021115604348532861
2013-05-15,0.00025,2.33e-05,,0.00021258307560918755
2013-05-16,0.00025,2.33e-05,,0.00021401010773304643
2013-05-17,0.00025,2.33e-05,0.00025,0.00021543713985690532
2013-05-18,0.00025,2.33e-05,,0.0002168641719807642
2013-05-19,0.00025,2.33e-05,,0.00021829120410462314
2013-05-20,0.00025,2.33e-05,1.9399e-06,0.00021971823622848202
2013-05-21,0.00025,2.33e-05,,0.00022114526835230832
2013-05-22,0.00025,2.33e-05,,0.0002225723004761672
2013-05-23,0.00025,2.33e-05,,0.0002239993326000261
2013-05-24,0.00025,2.33e-05,,0.00022542636472388497
2013-05-25,0.00025,2.33e-05,,0.00022685339684774385
2013-05-26,0.00025,2.33e-05,,0.0002282804289716028
2013-05-27,0.00025,2.33e-05,0.00025,0.00022970746109546167
2013-05-28,0.00025,2.33e-05,,0.00023113449321928798
2013-05-29,0.00025,2.33e-05,,0.00023256152534314686
2013-05-30,0.00025,2.33e-05,,0.00023398855746700574
2013-05-31,0.00025,2.33e-05,,0.00023541558959086462
2013-06-01,0.00025,2.33e-05,,0.0002368426217147235
2013-06-02,0.00025,2.33e-05,,0.00023826965383858244
2013-06-03,0.00025,2.33e-05,,0.00023969668596244133
2013-06-04,0.00025,2.33e-05,,0.00024112371808626763
2013-06-05,0.00025,2.33e-05,,0.0002425507502101265
2013-06-06,0.00025,2.33e-05,0.00025,0.0002439777823339854
2013-06-07,0.00025,2.33e-05,,0.0002454048144578443
2013-06-08,0.00025,2.33e-05,0.00025,0.00024683184658170316
2013-06-09,0.00025,2.33e-05,,0.0002482588787055621
2013-06-10,0.00025,2.33e-05,,0.000249685910829421
2013-06-11,0.00025,2.33e-05,,0.0002511129429532473
2013-06-12,0.00025,2.33e-05,,0.00025253997507710616
2013-06-13,0.00025,2.33e-05,,0.00025396700720096505
2013-06-14,0.00025,2.33e-05,,0.00025539403932482393
2013-06-15,0.00025,2.33e-05,,0.0002568210714486828
2013-06-16,0.00025,2.33e-05,,0.00025824810357254175
2013-06-17,0.00025,2.33e-05,,0.00025967513569640063
2013-06-18,0.00025,2.33e-05,,0.00026110216782022693
2013-06-19,0.00025,2.33e-05,0.00014,0.0002625291999440858
2013-06-20,0.00025,2.33e-05,,0.0002639562320679447
2013-06-21,0.00025,2.33e-05,,0.00026538326419180364
2013-06-22,0.00025,2.33e-05,,0.0002668102963156625
2013-06-23,0.0004,2.33e-05,0.0004,0.0002682373284395214
2013-06-24,0.0004,2.33e-05,,0.0002696643605633803
2013-06-25,0.0004,2.33e-05,,0.0002710913926872066
2013-06-26,0.0004,2.33e-05,0.0004,0.00027251842481106547
2013-06-27,0.0004,2.33e-05,,0.00027394545693492435
2013-06-28,0.0004,2.33e-05,0.0004,0.0002753724890587833
2013-06-29,0.0004,2.33e-05,,0.00027679952118264217
2013-06-30,0.0004,2.33e-05,,0.00027822655330650106
2013-07-01,0.0004,2.33e-05,,0.00027965358543035994
2013-07-02,0.0004,2.33e-05,,0.00028108061755418624
2013-07-03,0.0004,2.33e-05,,0.0002825076496780451
2013-07-04,0.0004,2.33e-05,,0.000283934681801904
2013-07-05,0.0004,2.33e-05,,0.00028536171392576294
2013-07-06,0.0004,2.33e-05,,0.0002867887460496218
2013-07-07,0.0004,2.33e-05,0.0004,0.0002882157781734807
2013-07-08,0.0004,2.33e-05,,0.0002896428102973396
2013-07-09,0.0004,2.33e-05,,0.0002910698424211659
2013-07-10,0.0004,2.33e-05,,0.0002924968745450248
2013-07-11,0.0004,2.33e-05,,0.0002939239066688837
2013-07-12,0.0004,2.33e-05,,0.0002953509387927426
2013-07-13,0.0004,2.33e-05,,0.0002967779709166015
2013-07-14,0.0004,2.33e-05,0.0004,0.00029820500304046036
2013-07-15,0.0004,2.33e-05,,0.00029963203516431924
2013-07-16,0.0004,2.33e-05,,0.00030105906728814555
2013-07-17,0.0004,2.33e-05,,0.00030248609941200443
2013-07-18,0.0004,2.33e-05,,0.00030391313153586337
2013-07-19,0.0004,2.33e-05,,0.00030534016365972225
2013-07-20,0.0004,2.33e-05,,0.00030676719578358113
2013-07-21,0.0004,2.33e-05,,0.00030819422790744
2013-07-22,0.0004,2.33e-05,,0.0003096212600312989
2013-07-23,0.0004,2.33e-05,,0.0003110482921551252
2013-07-24,0.0004,2.33e-05,,0.0003124753242789841
2013-07-25,0.0004,2.33e-05,,0.000313902356402843
2013-07-26,0.0004,2.33e-05,,0.0003153293885267019
2013-07-27,0.0004,2.33e-05,,0.0003167564206505608
2013-07-28,0.0004,2.33e-05,,0.00031818345277441967
2013-07-29,0.0004,2.33e-05,,0.00031961048489827855
2013-07-30,0.0004,2.33e-05,,0.00032103751702210485
2013-07-31,0.0004,2.33e-05,,0.00032246454914596374
2013-08-01,0.0004,2.33e-05,,0.0003238915812698227
2013-08-02,0.0004,2.33e-05,,0.00032531861339368156
2013-08-03,0.0004,2.33e-05,,0.00032674564551754044
2013-08-04,0.0004,2.33e-05,,0.0003281726776413993
2013-08-05,0.0004,2.33e-05,,0.0003295997097652582
2013-08-06,0.0004,2.33e-05,,0.0003310267418890845
2013-08-07,0.0004,2.33e-05,,0.0003324537740129434
2013-08-08,0.0004,2.33e-05,,0.0003338808061368023
2013-08-09,0.0004,2.33e-05,,0.0003353078382606612
2013-08-10,0.0004,2.33e-05,,0.0003367348703845201
2013-08-11,0.0004,2.33e-05,,0.000338161902508379
2013-08-12,0.0004,2.33e-05,,0.0003395889346322379
2013-08-13,0.0004,2.33e-05,,0.00034101596675606416
2013-08-14,0.0004,2.33e-05,,0.0003424429988799231
2013-08-15,0.0004,2.33e-05,,0.000343870031003782
2013-08-16,0.0004,2.33e-05,,0.00034529706312764086
2013-08-17,0.0004,2.33e-05,,0.00034672409525149974
2013-08-18,0.0004,2.33e-05,,0.00034815112737535863
2013-08-19,0.0004,2.33e-05,,0.00034957815949921756
2013-08-20,0.0004,2.33e-05,,0.0003510051916230438
2013-08-21,0.0004,2.33e-05,,0.00035243222374690275
2013-08-22,0.0004,2.33e-05,,0.00035385925587076163
2013-08-23,0.0004,2.33e-05,,0.0003552862879946205
2013-08-24,0.0004,2.33e-05,,0.0003567133201184794
2013-08-25,0.0004,2.33e-05,,0.0003581403522423383
2013-08-26,0.0004,2.33e-05,,0.0003595673843661972
2013-08-27,0.0004,2.33e-05,,0.00036099441649002347
2013-08-28,0.0004,2.33e-05,,0.0003624214486138824
