date,row_index,hardware_name,TH/J,max_efficiency,year
2014-09-02,699,AntMiner S1,0.0005,0.00316,2014
2014-09-17,702,AntMiner U2 USB STICKS,0.001,0.00535,2014
2014-09-25,703,AntMiner S3,0.0013,0.00535,2014
2014-10-06,706,ASICMiner Prisma,0.001333,0.00535,2014
2014-10-13,709,ASICMINER TUBE,0.000888,0.00535,2014
2014-10-18,713,KnC Jupiter,0.0004,0.00535,2014
2014-10-19,714,ASICMINER TUBE,0.000888,0.00535,2014
2014-11-06,720,Spondoolies Tech SP10,0.00112,0.00535,2014
2014-11-10,721,Spondoolies Tech SP20,0.001545,0.00535,2014
2014-11-11,722,ANTMINER U3,0.001,0.00535,2014
2014-11-14,723,ASICMiner Prisma,0.001333,0.00535,2014
2014-11-15,724,ASICMiner Prisma,0.001333,0.00535,2014
2014-11-20,725,KNC Neptune,0.001429,0.00535,2014
2014-12-01,729,Ant S1,0.0005,0.00535,2014
2014-12-18,731,Icarus,1.979e-05,0.00535,2014
2015-01-09,734,Antminer S5,0.001957,0.00535,2015
2015-01-09,735,AntMiner S3,0.0013,0.00535,2015
2015-01-13,738,AntMiner S5,0.001957,0.00535,2015
2015-01-20,741,Antminer S3,0.0013,0.00535,2015
2015-02-11,743,Spondoolies Tech SP35,0.001506,0.00535,2015
2015-03-19,748,Ant S3,0.0013,0.00535,2015
2015-03-19,749,Antminer S5,0.001957,0.00535,2015
2015-05-08,753,U3,0.001,0.00535,2015
2015-05-08,756,S3+,0.001282,0.00535,2015
2015-05-08,757,Antminer U2,0.001,0.00535,2015
2015-05-18,760,S5,0.001957,0.00535,2015
2015-05-25,761,BITMAIN ANTMINER U3,0.001,0.00535,2015
2015-07-10,770,Antminer S3,0.0013,0.00535,2015
2015-07-10,772,Antminer S2,0.0009,0.00535,2015
2015-07-10,773,U2,0.001,0.00535,2015
2015-07-10,774,S5,0.001957,0.00535,2015
2015-07-10,775,S3,0.0013,0.00535,2015
2015-07-10,777,Antminer S1,0.0005,0.00535,2015
2015-07-22,779,S5,0.001957,0.00535,2015
2015-08-07,783,Bitman Antminers S3,0.0013,0.00535,2015
2015-08-07,785,Bitman Antminers S4,0.001429,0.00535,2015
2015-08-07,787,Bitman Antminers S5,0.001957,0.00535,2015
2015-08-16,793,Antminer U3,0.001,0.00535,2015
2015-09-11,802,S5+,0.002247,0.00535,2015
2015-11-11,809,S5,0.001957,0.00714,2015
2015-11-15,813,S7,0.004,0.00714,2015
2015-11-15,816,antminer U2,0.001,0.00714,2015
2015-11-15,818,Antminer S5,0.001957,0.00714,2015
2015-11-15,820,Antminer S7,0.004,0.00714,2015
2015-11-20,821,S5,0.001957,0.00714,2015
2015-11-24,830,S5,0.001957,0.00714,2015
2015-11-24,832,S3,0.0013,0.00714,2015
2015-12-02,836,Spondoolies Tech SP 20,0.001545,0.00714,2015
2015-12-09,840,S3,0.0013,0.00714,2015
2016-01-14,859,Antminer S4,0.001429,0.00714,2016
2016-01-27,860,Antminer S7,0.004,0.00714,2016
