row_index,date
1203,2023-06-23
1204,2023-06-24
1205,2023-06-24
1206,2023-07-15
1207,2023-07-15
1208,2023-07-18
1209,2023-07-18
1210,2023-08-08
1211,2023-08-08
1212,2023-08-08
1213,2023-09-01
1214,2023-09-03
1215,2023-09-21
1216,2023-09-21
