row_index,hardware_name,hardware_index,hardware_price_usd,date,Mhash/s/$,Mhash/J
232,Avalon reference design from BitSyncom,-1,,2013-07-05,,
233,KnC,-1,,2013-07-06,,
234,BITFURY group buy,-1,,2013-07-06,,
235,KNC Jupiter,54,7000,2013-07-07,500000,400
236,Avalon,-1,,2013-07-08,,
237,ASICMiner USB,-1,74.26,2013-07-09,,
238,ASICMiner Erupter USB,-1,1.01693878,2013-07-10,,
239,BFL ASIC Chips,-1,59,2013-07-12,,
240,USB Erupters,-1,81.577,2013-07-13,,
241,2 KnC Jupiter 400Gh/s,54,90.03,2013-07-14,500000,400
242,ASICMiner Erupter USB,-1,,2013-07-15,,
243,BITFURY hosting,-1,,2013-07-18,,
244,ASICMiner Erupter USB,-1,0.95,2013-07-21,,
245,Block Erupter USB,-1,98.693,2013-07-21,,
246,ASICMINER USB Block Erupter,-1,99.9,2013-07-23,,
247,USB Asic miners,-1,85.576,2013-07-25,,
248,ASICMINER,-1,,2013-07-28,,
249,KNC,-1,,2013-07-28,,
250,singles,-1,,2013-07-29,,
251,BitburnersXX,-1,373.56,2013-07-29,,
252,BFL jalapenos,-1,,2013-07-29,,
253,Bicknellski K1 Nano,-1,65,2013-07-29,,
254,AM blades,-1,,2013-07-29,,
255,USBs,-1,,2013-07-29,,
256,Bitfury,-1,,2013-07-29,,
257,Avalon B3 4 module,-1,,2013-07-29,,
258,Avalon K1,-1,,2013-07-29,,
259,Avalon,-1,,2013-07-29,,
260,minirigs,-1,,2013-07-29,,
261,AsicMiner's USB,-1,,2013-07-29,,
262,BFL,-1,27.5,2013-07-30,,
263,Bitfury 400gh,-1,,2013-07-31,,
264,BFL ASIC Group Buy #2,-1,,2013-08-01,,
265,ASICMiner Erupter USB,-1,39.294,2013-08-02,,
266,ASICminer Block Erupter USB,-1,58,2013-08-02,,
267,USB ASICs,-1,20,2013-08-03,,
268,block erupters,-1,,2013-08-07,,
269,Bitfury ASIC Chips,-1,,2013-08-08,,
270,Avalon Reselling and Hosting Plan,-1,,2013-08-08,,
271,ASICminer Block Erupter USB,-1,58,2013-08-09,,
272,ASICMINER Erupter USB Miner,-1,32.728,2013-08-10,,
273,ASICminer Erupter USB,-1,45,2013-08-11,,
274,Kncminer,-1,140.7,2013-08-12,,
275,ASICMiner USB Block Erupters,-1,9.539,2013-08-12,,
276,HashFast Shares,-1,161.865,2013-08-13,,
277,HashFast Shares,-1,161.881,2013-08-15,,
278,block erupters,-1,,2013-08-15,,
279,Block Erupter USB,-1,,2013-08-16,,
280,Baby Jet,50,,2013-08-16,400000,909
281,HASHFAST 400GH/s,-1,,2013-08-16,,
282,USB block erupters,-1,1000,2013-08-18,,
283,block erupters,-1,,2013-08-18,,
284,HashFast,-1,,2013-08-19,,
285,ASICminer Erupter USB,-1,42.50,2013-08-19,,
286,batch #22/23,-1,,2013-08-19,,
287,ASICminer Erupter USB,-1,42.50,2013-08-19,,
288,ASIC Miner Usb miners,-1,,2013-08-19,,
289,Blades,-1,,2013-08-19,,
290,Monarch,30,,2013-08-20,700000,1428
291,hashfast baby jet,-1,88.267,2013-08-27,,
292,ASICMiner USB Block Erupters,-1,67.083,2013-08-27,,
293,Erupter USB,-1,3537.3,2013-08-28,,
294,ASICMINER Blade Miner,-1,1207.398,2013-08-28,,
295,Alydian,-1,,2013-08-29,,
296,BITFURY Chips,-1,,2013-08-29,,
297,Cointerra Shares,-1,533.61,2013-08-29,,
298,DRILLBIT SYSTEM mining assembly,-1,,2013-08-29,,
299,butterfly labs jalapeno,-1,250,2013-09-01,,
300,USB block erupters,-1,,2013-09-03,,
301,ASICMINER's,-1,,2013-09-03,,
302,Avalon ASIC Chips,-1,,2013-09-05,,
303,GPUs,-1,,2013-09-06,,
304,ASICs,-1,,2013-09-06,,
306,BitFury Asic Units,-1,,2013-09-08,,
307,Cointerra Shares,-1,243.0,2013-09-09,,
308,GPUs,-1,,2013-09-09,,
309,CPUs,-1,,2013-09-09,,
310,Single efficient machine (20GH),-1,10,2013-09-10,,
311,ASICminer Erupter GB#7,-1,595,2013-09-10,,
312,ASICMiner blades,-1,509.96,2013-09-11,,
313,HashBug development board,-1,6,2013-09-11,,
314,GB BabyJet batch #2,-1,,2013-09-13,,
315,KnCMiner,54,,2013-09-15,500000,400
316,BitFury,34,,2013-09-15,unknown,unknown
317,ASICMiner USB,-1,16.413,2013-09-16,,
318,CoinCraft Desk,-1,,2013-09-17,,
319,Bitmine,35,,2013-09-17,85000,unknown
320,Cointerra,40,,2013-09-17,160000,unknown
321,ASICMiner Block Erupters,-1,16.51,2013-09-18,,
322,HashFast,51,150,2013-09-19,120000,909
323,"BPMC ""RED FURY"" USB MINERS",-1,102.024,2013-09-20,,
324,HashFast,51,,2013-09-22,120000,909
325,RedFury USB miner 2.2 - 2.7 GH/s,-1,107.193,2013-09-22,,
326,AM Erupters,-1,,2013-09-22,,
327,HashFast Sierra,52,,2013-09-22,200000,909
328,HashFast Flash Sale,-1,,2013-09-22,,
329,VMC Board,-1,,2013-09-22,,
330,Bitfury miner,34,,2013-09-23,unknown,unknown
331,ZTEX project ZtexBTCMiner-120703,-1,,2013-09-23,,
332,HashFast Sierra,52,6000,2013-09-23,200000,909
333,HashFast Sierra,52,69,2013-09-24,200000,909
334,Cointerra Terraminer IV,40,185.79,2013-09-24,160000,unknown
335,Sierra,52,,2013-09-24,200000,909
336,Hash Fast Baby Jet,50,12.386,2013-09-24,400000,909
337,GB HashFast unit,-1,,2013-09-24,,
338,Blades,-1,476.861,2013-09-24,,
339,Block Erupter USB,-1,19.198,2013-09-24,,
340,Bitmine Coincraft,35,,2013-09-26,85000,unknown
341,KnC,54,,2013-09-26,500000,400
342,CointerraII,-1,,2013-09-26,,
343,ASICMiner Block Erupters,-1,15.869,2013-09-27,,
344,"BPMC ""BLUE FURY"" 2.7 GH/s USB MINER",-1,,2013-09-28,,
345,DZ HF R2 Baby Jet,-1,43,2013-09-28,,
346,KnCMiner Saturn,56,132.562,2013-09-30,250000,400
347,TerraMiner IV,40,6299,2013-10-01,160000,unknown
348,KnC Jupiter,54,,2013-10-01,500000,400
349,HashFast Shares,-1,124.62,2013-10-02,,
350,Blade Miners,-1,311.55,2013-10-02,,
351,KnC Jupiter,54,78,2013-10-07,500000,400
352,HashFast Sierra,52,120,2013-10-09,200000,909
353,BitSafe Wallet,-1,,2013-10-09,,
354,HashFast Baby Jet,50,43,2013-10-10,400000,909
355,Avalon,17,,2013-10-10,663001,107
356,"BPMC ""BLUE FURY"" 2.7 GH/s USB MINER",-1,114.12,2013-10-10,,
357,Bitmine Rig,35,708,2013-10-10,85000,unknown
358,Avalon,17,,2013-10-10,663001,107
359,R1B,-1,,2013-10-12,,
360,Terraminer IV,40,211.728,2013-10-13,160000,unknown
361,Bitmine Rig,35,70,2013-10-13,85000,unknown
362,"BPMC ""BLUE FURY"" 2.7 GH/s USB MINER",-1,,2013-10-14,,
363,BPMC BLUEFURY USB Miner,-1,139,2013-10-16,,
364,R5 KnC Jupiter,54,,2013-10-17,500000,400
365,Black Arrow rig(s),-1,,2013-10-17,,
366,KnC Jupiter,54,78,2013-10-19,500000,400
367,ASICMiner Blades,-1,342.247,2013-10-21,,
368,Bitmine Rig,35,60,2013-10-23,85000,unknown
369,KnC Jupiter,54,78,2013-10-24,500000,400
370,R11,-1,123,2013-10-27,,
371,BLACK ARROW Bullet Run,-1,123,2013-10-28,,
372,R11,-1,123,2013-11-01,,
373,USB Miners,-1,7.075,2013-11-01,,
374,Avalon,17,6000,2013-11-03,663001,107
375,KNC Jupiter,54,5000,2013-11-03,500000,400
376,batch #32/31,-1,,2013-11-04,,
377,50 USBs + 49-port hub,-1,252.109,2013-11-04,,
378,RED FURY,-1,119.021,2013-11-05,,
379,USB Miners,-1,232.8,2013-11-07,,
380,Avalon Gen. 2 Chips,-1,,2013-11-07,,
381,Backplanes,-1,145.5,2013-11-07,,
382,Blade Miners,-1,232.8,2013-11-07,,
383,Cointerra Terraminer IV,40,507.75,2013-11-09,160000,unknown
384,Terraminer IV,40,227.5,2013-11-10,160000,unknown
385,USB hubs,-1,137.596,2013-11-11,,
386,$0.90,-1,,2013-11-11,,
387,Blue Fury USB Miner,-1,10.74,2013-11-11,,
388,Feb '14,-1,123,2013-11-11,,
389,N America,-1,,2013-11-11,,
390,Intl. Robocoin GB ATM Launch in EU,-1,,2013-11-11,,
391,USB miners,-1,,2013-11-11,,
392,blades,-1,,2013-11-11,,
393,$5.82,-1,,2013-11-11,,
394,$17.50,-1,,2013-11-11,,
395,$1.80,-1,,2013-11-11,,
396,Group Buy #21 backplanes,-1,85.998,2013-11-11,,
397,RED FURY,-1,138.43,2013-11-12,,
398,RED FURY,-1,113.584,2013-11-12,,
399,RED FURY,-1,124.232,2013-11-12,,
