month,TH/J,t,t_squared,P_max_t,log_P_max_t,model_value
2021-07-01,0.014448870715384615,121.0,14641,0.0339,-3.3843402645957323,0.011910787082877915
2021-08-01,0.01970921630625,122.0,14884,0.0339,-3.3843402645957323,0.012353779313898135
2021-09-01,0.01819058698125,123.0,15129,0.0339,-3.3843402645957323,0.012909602353288915
2021-10-01,0.016183151670833333,124.0,15376,0.0339,-3.3843402645957323,0.0153166732392533
2021-11-01,0.015655572274999998,125.0,15625,0.0339,-3.3843402645957323,0.017323990028398663
2021-12-01,0.0184987717,126.0,15876,0.0339,-3.3843402645957323,0.01784920633298684
2022-01-01,0.010879392988235296,127.0,16129,0.0339,-3.3843402645957323,0.017246954178083085
2022-02-01,0.016074662647058823,128.0,16384,0.0339,-3.3843402645957323,0.017777557489787654
2022-03-01,0.01203322431,129.0,16641,0.0339,-3.3843402645957323,0.015606428433150108
2022-04-01,0.0177226766,130.0,16900,0.0339,-3.3843402645957323,0.015044845937308463
2022-05-01,0.016858990354545453,131.0,17161,0.0339,-3.3843402645957323,0.01358202734736934
2022-06-01,0.017598934444444443,132.0,17424,0.0339,-3.3843402645957323,0.014283132606259654
2022-07-01,0.018190523321052633,133.0,17689,0.0465,-3.0683029663888264,0.015333318456061482
2022-08-01,0.018105080099999997,134.0,17956,0.0465,-3.0683029663888264,0.016443396198438227
2022-09-01,0.010036754192857144,135.0,18225,0.0465,-3.0683029663888264,0.01745478529723467
2022-10-01,0.019503344066666668,136.0,18496,0.0465,-3.0683029663888264,0.01850601167639197
2022-11-01,0.01512337016,137.0,18769,0.0465,-3.0683029663888264,0.015847285545009103
2022-12-01,0.01215625202,138.0,19044,0.0465,-3.0683029663888264,0.016078304321733124
2023-01-01,0.01695502565,139.0,19321,0.0465,-3.0683029663888264,0.016037877209574142
2023-02-01,0.01952417782857143,140.0,19600,-1.0,,0.014574413464169185
2023-03-01,0.02757587401818182,141.0,19881,-1.0,,0.014553434773685594
2023-04-01,0.013133750538095238,142.0,20164,-1.0,,0.015651476574096174
2023-05-01,0.017462519465,143.0,20449,-1.0,,0.020543205381328998
2023-06-01,0.03038461535,144.0,20736,-1.0,,0.02010386545165481
2023-07-01,0.0153846154,145.0,21025,-1.0,,0.018426975796483454
2023-08-01,0.03039927405,146.0,21316,-1.0,,0.022185137804635296
2023-09-01,0.01228173142,147.0,21609,-1.0,,0.020892997920893296
2023-10-01,0.0348844663,148.0,21904,-1.0,,0.024223136977325824
